Cluster Name,ID,TargetID,GaiaDR3,Probability,RA,DEC,Nyquist Frequency,Max Power,Frequency at max Power,GMAG,BP_RP
ASCC_5,3,TIC 445380881,423559336751603328,0.9589200600638984,14.5320297,55.8243663,360.00329,0.000486,7.118,-3.748367,-0.348764
ASCC_14,9,TIC 2438468,183633804939546368,1.0,80.06886846,35.2171741,359.994855,0.000137,27.0048,0.120687,-0.141911
ASCC_85,42,TIC 236510900,5943109804152088576,1.0,251.6324269,-45.7654298,359.999067,5.8e-05,14.6004,-0.878626,-0.174168
Alessi_8,72,TIC 146454560,5889411232478569088,1.0,232.6000346,-51.1100258,359.994494,2.6e-05,18.6782,-0.516984,-0.101623
Alessi_37,87,TIC 154210472,1984149963043195520,0.593177785407168,341.9804591,46.4447379,360.00138,1e-05,232.8576,-1.443003,-0.152874
Alessi-Teutsch_12,117,TIC 172206800,5915175130695173888,1.0,255.8439401,-58.5672603,359.999923,0.000114,18.5716,1.840096,0.027553
BH_99,150,TIC 458113226,5254551161354587264,0.583271914895466,159.255689,-59.3166888,359.997566,0.000171,21.3692,1.637365,0.035402
BH_164,161,TIC 296380042,5872783494249091584,0.777686845914177,223.9020726,-65.7584502,360.001371,0.000284,46.2783,1.789938,0.039046
Berkeley_59,232,TIC 378579963,528595545112226432,0.6250792743614594,0.58280591,67.5733972,360.002523,6.5e-05,10.0122,-1.778789,-0.044168
Biurakan_2,280,TIC 91701376,2058844804458573952,0.8884267356910756,302.2430885,35.4732708,359.999448,0.000633,7.0657,-1.103258,-0.178568
CWNU_45,348,TIC 65664136,5610026397318774016,0.8567081936881613,108.4018557,-27.3563299,360.001437,0.0001,14.9758,-2.87032,-0.346843
CWNU_205,421,TIC 232504750,3124871217908478208,1.0,93.75283487,2.87013479,360.00033,48.635244,300.6773,1.375884,0.053154
CWNU_384,496,TIC 231611674,5646415146954685312,1.0,128.0441224,-28.2005726,359.999193,0.001898,12.2675,1.909087,0.085605
CWNU_393,499,TIC 287690192,2020668111471412480,0.919200440265958,297.1945369,24.805812,360.001011,6.133482,7.8213,-2.274895,-0.17843
CWNU_519,553,TIC 277570969,2184113366783588096,0.8478958541395998,311.0670545,56.1734119,359.995304,2.9e-05,11.1696,0.281081,-0.197081
CWNU_1007,561,TIC 302975726,3396124344251284352,0.8584728843860095,83.3677738,16.0146559,359.972219,0.000946,41.5622,1.837755,0.032942
CWNU_1020,568,TIC 384549882,5310970160975211008,1.0,136.5276995,-54.9039215,359.998109,0.000338,21.3921,0.366899,-0.058503
CWNU_1062,581,TIC 67544478,3973470065974214784,1.0,173.6770032,16.7969147,359.999558,0.000389,0.259,-1.299862,-0.31455
CWNU_1074,586,TIC 281132210,4297901209654020480,1.0,296.1978208,7.2266254,360.004272,2.1e-05,300.165,-1.785051,-0.270146
CWNU_1083,589,TIC 183522571,5527917892607910528,1.0,125.7753574,-40.4978833,359.997624,0.001264,40.0451,1.555832,-0.11954
CWNU_1084,590,TIC 91825479,2055250947615017856,1.0,302.5025378,33.6603424,360.000706,0.001176,43.8871,1.875576,0.115315
CWNU_1095,596,TIC 99920817,1054686501512407424,1.0,169.6397628,64.1605338,359.999188,174.184651,14.9956,1.545033,0.137717
CWNU_287,456,TIC 464639956,5351935181081145088,1.0,156.8351349,-56.4413593,359.999377,0.001562,44.9952,1.877889,0.043814
